Pokemon 0025: JSON=14, DATASET=18, DIFF=-4
Pokemon 0026: JSON=10, DATASET=6, DIFF=4
Pokemon 0036: JSON=4, DATASET=2, DIFF=2
Pokemon 0058: JSON=4, DATASET=2, DIFF=2
Pokemon 0059: JSON=4, DATASET=2, DIFF=2
Pokemon 0071: JSON=4, DATASET=2, DIFF=2
Pokemon 0100: JSON=4, DATASET=2, DIFF=2
Pokemon 0101: JSON=4, DATASET=2, DIFF=2
Pokemon 0121: JSON=4, DATASET=2, DIFF=2
Pokemon 0128: JSON=8, DATASET=2, DIFF=6
Pokemon 0149: JSON=4, DATASET=2, DIFF=2
Pokemon 0154: JSON=6, DATASET=4, DIFF=2
Pokemon 0157: JSON=4, DATASET=2, DIFF=2
Pokemon 0160: JSON=4, DATASET=2, DIFF=2
Pokemon 0194: JSON=6, DATASET=4, DIFF=2
Pokemon 0195: JSON=8, DATASET=4, DIFF=4
Pokemon 0211: JSON=4, DATASET=2, DIFF=2
Pokemon 0215: JSON=8, DATASET=4, DIFF=4
Pokemon 0227: JSON=4, DATASET=2, DIFF=2
Pokemon 0255: JSON=6, DATASET=2, DIFF=4
Pokemon 0358: JSON=4, DATASET=2, DIFF=2
Pokemon 0359: JSON=6, DATASET=4, DIFF=2
Pokemon 0398: JSON=6, DATASET=4, DIFF=2
Pokemon 0399: JSON=8, DATASET=4, DIFF=4
Pokemon 0418: JSON=8, DATASET=4, DIFF=4
Pokemon 0419: JSON=8, DATASET=4, DIFF=4
Pokemon 0445: JSON=8, DATASET=6, DIFF=2
Pokemon 0448: JSON=6, DATASET=4, DIFF=2
Pokemon 0478: JSON=4, DATASET=2, DIFF=2
Pokemon 0483: JSON=4, DATASET=2, DIFF=2
Pokemon 0484: JSON=4, DATASET=2, DIFF=2
Pokemon 0485: JSON=4, DATASET=2, DIFF=2
Pokemon 0491: JSON=4, DATASET=2, DIFF=2
Pokemon 0500: JSON=4, DATASET=2, DIFF=2
Pokemon 0503: JSON=4, DATASET=2, DIFF=2
Pokemon 0530: JSON=4, DATASET=2, DIFF=2
Pokemon 0545: JSON=4, DATASET=2, DIFF=2
Pokemon 0549: JSON=4, DATASET=2, DIFF=2
Pokemon 0550: JSON=6, DATASET=4, DIFF=2
Pokemon 0560: JSON=4, DATASET=2, DIFF=2
Pokemon 0570: JSON=4, DATASET=2, DIFF=2
Pokemon 0571: JSON=4, DATASET=2, DIFF=2
Pokemon 0604: JSON=4, DATASET=2, DIFF=2
Pokemon 0609: JSON=4, DATASET=2, DIFF=2
Pokemon 0623: JSON=4, DATASET=2, DIFF=2
Pokemon 0628: JSON=4, DATASET=2, DIFF=2
Pokemon 0652: JSON=4, DATASET=2, DIFF=2
Pokemon 0655: JSON=4, DATASET=2, DIFF=2
Pokemon 0658: JSON=6, DATASET=4, DIFF=2
Pokemon 0664: JSON=3, DATASET=2, DIFF=1
Pokemon 0668: JSON=6, DATASET=4, DIFF=2
Pokemon 0670: JSON=12, DATASET=10, DIFF=2
Pokemon 0678: JSON=6, DATASET=4, DIFF=2
Pokemon 0687: JSON=4, DATASET=2, DIFF=2
Pokemon 0689: JSON=4, DATASET=2, DIFF=2
Pokemon 0691: JSON=4, DATASET=2, DIFF=2
Pokemon 0701: JSON=4, DATASET=2, DIFF=2
Pokemon 0705: JSON=4, DATASET=2, DIFF=2
Pokemon 0706: JSON=4, DATASET=2, DIFF=2
Pokemon 0713: JSON=4, DATASET=2, DIFF=2
Pokemon 0718: JSON=8, DATASET=6, DIFF=2
Pokemon 0724: JSON=4, DATASET=2, DIFF=2
Pokemon 0740: JSON=4, DATASET=2, DIFF=2
Pokemon 0768: JSON=4, DATASET=2, DIFF=2
Pokemon 0780: JSON=4, DATASET=2, DIFF=2
Pokemon 0801: JSON=8, DATASET=4, DIFF=4
Pokemon 0807: JSON=4, DATASET=2, DIFF=2
Pokemon 0854: JSON=6, DATASET=2, DIFF=4
Pokemon 0855: JSON=6, DATASET=2, DIFF=4
Pokemon 0870: JSON=4, DATASET=2, DIFF=2


161 new pokemon
